StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_liable_AV_1,vB_mnfctr_liable_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_liable_1,vB_driver_liable_1,vB_mnfctr_liable_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp1,comp_accident,pol_affiliation_1,driving_ability_1,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,av_trust_1_1,av_trust_2_1,av_trust_3_1,av_trust_4_1,av_trust_5_1,FL_4_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO,moderators_DO,trust_scale_DO
2023-04-06 11:58:47,2023-04-06 11:58:47,2,,100,0,1,2023-04-06 11:58:47,R_9ABXfRhh3PxwO6q,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:48,2023-04-06 11:58:48,2,,100,0,1,2023-04-06 11:58:48,R_b27ODerLmZdpn26,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:48,2023-04-06 11:58:48,2,,100,0,1,2023-04-06 11:58:48,R_0OJB02kbiq3BqFE,,,,,,,test,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:48,2023-04-06 11:58:48,2,,100,0,1,2023-04-06 11:58:48,R_e9dUgKXo53hzf0O,,,,,,,test,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:49,2023-04-06 11:58:49,2,,100,0,1,2023-04-06 11:58:49,R_8cPWs4Zila5aPqK,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:49,2023-04-06 11:58:49,2,,100,0,1,2023-04-06 11:58:49,R_bPEQjxTXiPICibA,,,,,,,test,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:49,2023-04-06 11:58:49,2,,100,0,1,2023-04-06 11:58:49,R_cOziWhYGFAX03s2,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:50,2023-04-06 11:58:50,2,,100,0,1,2023-04-06 11:58:50,R_0xkZcvSuICgWI4K,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:50,2023-04-06 11:58:50,2,,100,0,1,2023-04-06 11:58:50,R_9me6KATRG5aOOgK,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:50,2023-04-06 11:58:50,2,,100,0,1,2023-04-06 11:58:50,R_exrsdA3nkQK9Swm,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:50,2023-04-06 11:58:50,2,,100,0,1,2023-04-06 11:58:51,R_7aK2kFgX2ujSnFY,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:51,2023-04-06 11:58:51,2,,100,0,1,2023-04-06 11:58:51,R_aXhL7490dvuLjtI,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:51,2023-04-06 11:58:51,2,,100,0,1,2023-04-06 11:58:51,R_2h2AIj3ipYXi5dI,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:51,2023-04-06 11:58:51,2,,100,0,1,2023-04-06 11:58:51,R_82hpMJwgaxZ5sIC,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:52,2023-04-06 11:58:52,2,,100,0,1,2023-04-06 11:58:52,R_8CGTXn78De29UmW,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:52,2023-04-06 11:58:52,2,,100,0,1,2023-04-06 11:58:52,R_9Tuxw3MERZ1UNPU,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:52,2023-04-06 11:58:52,2,,100,0,1,2023-04-06 11:58:52,R_7PrYLRSTID3Aw0m,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:53,2023-04-06 11:58:53,2,,100,0,1,2023-04-06 11:58:53,R_1H7m3x34QWE8vUW,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:53,2023-04-06 11:58:53,2,,100,0,1,2023-04-06 11:58:53,R_eFlKSxoeey3qJJc,,,,,,,test,,1,2,2,4.38,4.64,5,24,5.91,7.29,6.9,33,28,39,21,19,43,,,,,,,,,,,,,,,2,1,35,15,52,3,,Ligula aliquet tortor iaculis morbi eros viverra dui rutrum natoque. Suspendisse.,3,,,,,,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation,
2023-04-06 11:58:53,2023-04-06 11:58:53,2,,100,0,1,2023-04-06 11:58:53,R_ePNodyxWOBhluzc,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:54,2023-04-06 11:58:54,2,,100,0,1,2023-04-06 11:58:54,R_0vPu3oXsJIX7AqO,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:54,2023-04-06 11:58:54,2,,100,0,1,2023-04-06 11:58:54,R_6ECnHrOe9tpguJU,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:54,2023-04-06 11:58:54,2,,100,0,1,2023-04-06 11:58:54,R_bvkyLJecvAvHyRg,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:55,2023-04-06 11:58:55,2,,100,0,1,2023-04-06 11:58:55,R_dmNVcqSeY6oYb0W,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:55,2023-04-06 11:58:55,2,,100,0,1,2023-04-06 11:58:55,R_87c95LLtwPvfh1I,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:55,2023-04-06 11:58:55,2,,100,0,1,2023-04-06 11:58:55,R_1TEvV5Op5jjlyEC,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:56,2023-04-06 11:58:56,2,,100,0,1,2023-04-06 11:58:56,R_77BaDqkSqQKFK86,,,,,,,test,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:56,2023-04-06 11:58:56,2,,100,0,1,2023-04-06 11:58:56,R_00sdPWud3Zy1kOy,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:56,2023-04-06 11:58:56,2,,100,0,1,2023-04-06 11:58:56,R_e4FG77UaMUC1G18,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:56,2023-04-06 11:58:57,2,,100,1,1,2023-04-06 11:58:57,R_57rIgdaBRym7Sbs,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:57,2023-04-06 11:58:57,2,,100,0,1,2023-04-06 11:58:57,R_38beTd5xgKRgwGa,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:57,2023-04-06 11:58:57,2,,100,0,1,2023-04-06 11:58:57,R_bpYv3LIWUlFyZH8,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:57,2023-04-06 11:58:57,2,,100,0,1,2023-04-06 11:58:57,R_22Zp8TzEQK54Np4,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:58,2023-04-06 11:58:58,2,,100,0,1,2023-04-06 11:58:58,R_3jzf6dkBlanB3H8,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:58,2023-04-06 11:58:58,2,,100,0,1,2023-04-06 11:58:58,R_3TTMYoAAZWZUSdU,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:58,2023-04-06 11:58:58,2,,100,0,1,2023-04-06 11:58:58,R_bdx7CiTPZXXyioK,,,,,,,test,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:59,2023-04-06 11:58:59,2,,100,0,1,2023-04-06 11:58:59,R_72tzDvyBN4AfcW2,,,,,,,test,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:59,2023-04-06 11:58:59,2,,100,0,1,2023-04-06 11:58:59,R_8xhBVH812YYHIfc,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:59,2023-04-06 11:58:59,2,,100,0,1,2023-04-06 11:58:59,R_3mga54iBm72XQFw,,,,,,,test,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:58:59,2023-04-06 11:58:59,2,,100,0,1,2023-04-06 11:58:59,R_bkg8Ezuh80tQR38,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:00,2023-04-06 11:59:00,2,,100,0,1,2023-04-06 11:59:00,R_0GjFVTLBK3Brr38,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:00,2023-04-06 11:59:00,2,,100,0,1,2023-04-06 11:59:00,R_5ASBRv8FQhRhWSy,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:00,2023-04-06 11:59:00,2,,100,0,1,2023-04-06 11:59:00,R_bswLOX1NlZp1YQm,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:01,2023-04-06 11:59:01,2,,100,0,1,2023-04-06 11:59:01,R_5vfa8ZzRBQBmUPI,,,,,,,test,,1,2,2,,,,,,,,,,,,,,6.47,9.13,8.96,24,1.47,2.14,9.55,26,88,63,22,49,31,23,2,2,1,63,20,4,"Est, eleifend sed, suspendisse auctor urna montes vitae mauris a, in viverra dolor magnis.",Tempus dictumst! Eros malesuada integer? Erat lectus molestie eros ullamcorper commodo. Consequat diam pellentesque.,6,,,,,,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation,
2023-04-06 11:59:01,2023-04-06 11:59:01,2,,100,0,1,2023-04-06 11:59:01,R_eVbbNM6NCeQFOSO,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:01,2023-04-06 11:59:02,2,,100,1,1,2023-04-06 11:59:02,R_bI3u0U0299eKRAG,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:02,2023-04-06 11:59:02,2,,100,0,1,2023-04-06 11:59:02,R_cwjYyFvkdHBcWzk,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:02,2023-04-06 11:59:02,2,,100,0,1,2023-04-06 11:59:02,R_2rU0JsaryYZx1Ns,,,,,,,test,,1,2,2,,,,,,,,,,,,,,7.16,9.78,8.77,26,6.45,8.59,7.71,48,61,33,4,9,50,81,1,1,66,78,39,2,,"Quis odio nulla. Consectetuer bibendum, elit, massa eget nullam elementum non urna. Et.",4,,,,,,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation,
2023-04-06 11:59:03,2023-04-06 11:59:03,2,,100,0,1,2023-04-06 11:59:03,R_4GfoIiB07EaW6Ue,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:03,2023-04-06 11:59:03,2,,100,0,1,2023-04-06 11:59:03,R_3r9YEF6qeBbYVnw,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:03,2023-04-06 11:59:03,2,,100,0,1,2023-04-06 11:59:03,R_0HeGmUVQk0VxOF8,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:04,2023-04-06 11:59:04,2,,100,0,1,2023-04-06 11:59:04,R_cBfAreOEo4tSXYO,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:04,2023-04-06 11:59:04,2,,100,0,1,2023-04-06 11:59:04,R_9mEjZbADrQJNGzs,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:04,2023-04-06 11:59:04,2,,100,0,1,2023-04-06 11:59:04,R_ahJN6Vw3XtTf6iW,,,,,,,test,,1,2,2,0.82,7.34,1.73,26,3.59,6.94,8.08,32,71,55,31,97,43,,,,,,,,,,,,,,,1,2,86,4,31,1,,"In eu augue dapibus luctus? Dictumst cras, platea! Leo fringilla ullamcorper.",6,,,,,,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation,
2023-04-06 11:59:05,2023-04-06 11:59:05,2,,100,0,1,2023-04-06 11:59:05,R_6KYJx94yhnTbwKG,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:05,2023-04-06 11:59:05,2,,100,0,1,2023-04-06 11:59:05,R_74CzWoDev7K2vl4,,,,,,,test,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:05,2023-04-06 11:59:05,2,,100,0,1,2023-04-06 11:59:05,R_08u4VtNw9yHJnvw,,,,,,,test,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:06,2023-04-06 11:59:06,2,,100,0,1,2023-04-06 11:59:06,R_2co8FgtBIt5pb2S,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:06,2023-04-06 11:59:06,2,,100,0,1,2023-04-06 11:59:06,R_bwrgG8MPqmYmPlk,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:06,2023-04-06 11:59:06,2,,100,0,1,2023-04-06 11:59:06,R_0qyTIWAFsZwEii2,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:06,2023-04-06 11:59:06,2,,100,0,1,2023-04-06 11:59:07,R_8wiqUPF7SOZmuge,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 11:59:07,2023-04-06 11:59:07,2,,100,0,1,2023-04-06 11:59:07,R_err025VkRQiSxU2,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
