StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_sue_AV_1,vB_mf_sue_AV_1,avoid_AV_1,Q149_First Click,Q149_Last Click,Q149_Page Submit,Q149_Click Count,vA_sue_AV_intv_1,vB_mf_sue_AV_intv_1,avoid_AV_intv_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_sue_1,vB_driver_sue_1,vB_mf_sue_1,avoid_1,Q163_First Click,Q163_Last Click,Q163_Page Submit,Q163_Click Count,vA_sue_intv_1,vB_sue_intv_1,vB_mf_sue_intv_1,avoid_intv_1,comp1,comp_accident,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,Q151_First Click,Q151_Last Click,Q151_Page Submit,Q151_Click Count,FL_4_DO,FL_92_DO,FL_98_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_AV_intv_DO,questions_2_AV_intv_DO,questions_1_DO,questions_2_DO,questions_1_intv_DO,questions_2_intv_DO
2024-06-03 19:28:35,2024-06-03 19:32:13,0,50.24.73.69,100,218,1,2024-06-03 19:32:14,R_6m4P9rukAzU8m8E,,,,,30.1212,-95.2678,anonymous,EN,1,2,2,1.921,25.564,27.767,2,11.232,11.232,12.581,1,,,,0,0,30.835,0,100,100,5,,,,,,,,,,,,,,,,,,,,,1,1,18,1,,56,4,,,,,,FL_39,FL_94,,,,Q155|vA_sue_AV_intv|vB_mf_sue_AV_intv,Q158|avoid_AV_intv,,,,
2024-06-03 19:31:31,2024-06-03 19:33:53,0,47.16.75.107,100,142,1,2024-06-03 19:33:53,R_6ELUf9eLMiTbAJv,,,,,40.6221,-73.981,anonymous,EN,1,2,2,0,0,21.308,0,3.561,3.561,14.341,1,100,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,3,,38,1,,,,,,FL_39,FL_93,,Q116|vB_mf_sue_AV|vA_sue_AV,Q122|avoid_AV,,,,,,
2024-06-03 19:31:10,2024-06-03 19:34:22,0,68.117.53.9,100,191,1,2024-06-03 19:34:23,R_5HLWvrWu1849zrP,,,,,44.6707,-93.2588,anonymous,EN,1,2,2,0,0,27.809,0,0,0,15.137,0,,,,0,0,28.67,0,100,9,0,,,,,,,,,,,,,,,,,,,,,1,1,16,2,,42,5,,,,,,FL_39,FL_94,,,,Q155|vA_sue_AV_intv|vB_mf_sue_AV_intv,Q158|avoid_AV_intv,,,,
2024-06-03 19:32:29,2024-06-03 19:35:07,0,72.239.182.179,100,157,1,2024-06-03 19:35:07,R_6Y8DuF4d5VgxHSF,,,,,28.5981,-81.3515,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,0,0,11.946,0,0,0,11.694,0,,,,,0,0,16.458,0,100,0,0,0,2,2,8,1,,38,1,,,,,,FL_40,,FL_100,,,,,,,Q164|vB_sue_intv|vB_mf_sue_intv|vA_sue_intv,Q167|avoid_intv
2024-06-03 19:33:23,2024-06-03 19:36:40,0,83.166.205.82,100,196,1,2024-06-03 19:36:41,R_5oYZ3T948dsi1eu,,,,,47.6034,-122.3414,anonymous,EN,1,2,2,11.932,29.501,30.372,2,0,0,11.732,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,84,2,,44,3,,,,,,FL_39,FL_93,,Q116|vA_sue_AV|vB_mf_sue_AV,Q122|avoid_AV,,,,,,
2024-06-03 19:29:58,2024-06-03 19:36:54,0,24.21.191.79,100,416,1,2024-06-03 19:36:55,R_62Y1pKwM9aoNzVL,,,,,45.6911,-122.585,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,0,0,228.802,0,0,0,11.104,0,,,,,0,0,22.143,0,100,0,25,0,2,1,25,1,,25,3,,,,,,FL_40,,FL_100,,,,,,,Q164|vB_mf_sue_intv|vB_sue_intv|vA_sue_intv,Q167|avoid_intv
2024-06-03 19:34:51,2024-06-03 19:38:43,0,98.37.195.30,100,231,1,2024-06-03 19:38:43,R_3CslJP3lcwslj0O,,,,,37.78,-122.465,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,0,0,21.16,0,0,0,11.282,0,,,,,0,0,33.716,0,80,0,0,8,2,1,70,1,,32,4,,,,,,FL_40,,FL_100,,,,,,,Q164|vB_mf_sue_intv|vA_sue_intv|vB_sue_intv,Q167|avoid_intv
2024-06-03 19:35:31,2024-06-03 19:38:53,0,172.58.120.240,100,201,1,2024-06-03 19:38:53,R_5Eobe6gPDXm9MhU,,,,,42.4327,-83.0396,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,0,0,31.619,0,0,0,12.152,0,,,,,0,0,23.377,0,99,2,3,10,2,1,32,2,,53,3,,,,,,FL_40,,FL_100,,,,,,,Q164|vB_sue_intv|vA_sue_intv|vB_mf_sue_intv,Q167|avoid_intv
2024-06-03 19:35:39,2024-06-03 19:41:18,0,76.153.61.151,100,339,1,2024-06-03 19:41:19,R_1EWkUXryXOS2VLO,,,,,25.4931,-80.4344,anonymous,EN,1,2,2,0,0,27.821,0,0,0,30.676,0,91,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,,30,2,,,,,,FL_39,FL_93,,Q116|vA_sue_AV|vB_mf_sue_AV,Q122|avoid_AV,,,,,,
2024-06-03 19:37:51,2024-06-03 19:41:50,0,98.194.20.201,100,239,1,2024-06-03 19:41:51,R_1OewS6SYybrQfB7,,,,,29.6405,-95.2176,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,22.369,22.369,23.409,1,0,0,13.469,0,,,,,22.756,22.756,24.689,1,100,0,0,9,2,1,30,2,,39,4,,,,,,FL_40,,FL_100,,,,,,,Q164|vB_mf_sue_intv|vB_sue_intv|vA_sue_intv,Q167|avoid_intv
2024-06-03 19:41:06,2024-06-03 19:44:12,0,174.56.86.162,100,185,1,2024-06-03 19:44:13,R_7N8h8rH1TKlvGCo,,,,,36.7443,-108.1801,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,2.101,13.838,30.934,2,3.47,8.327,11.844,2,,,,,1.967,13.991,20.059,7,100,0,0,0,2,2,0,2,,46,4,,,,,,FL_40,,FL_100,,,,,,,Q164|vB_mf_sue_intv|vA_sue_intv|vB_sue_intv,Q167|avoid_intv
2024-06-03 19:43:26,2024-06-03 19:44:19,0,67.176.232.104,100,53,1,2024-06-03 19:44:20,R_3aXNU2t2NpMn3W1,,,,,39.8616,-88.9355,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03 19:40:45,2024-06-03 19:44:48,0,74.214.36.251,100,242,1,2024-06-03 19:44:48,R_5nUSPG8m1GEInCb,,,,,41.0683,-76.2459,anonymous,EN,1,2,2,43.885,43.885,44.678,1,0,0,13.115,0,100,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,2,,58,4,,,,,,FL_39,FL_93,,Q116|vB_mf_sue_AV|vA_sue_AV,Q122|avoid_AV,,,,,,
2024-06-03 19:40:24,2024-06-03 19:45:18,0,174.207.43.254,100,294,1,2024-06-03 19:45:19,R_1odbdUKU71tfnKX,,,,,40.0326,-82.8799,anonymous,EN,1,2,2,0,0,44.5,0,0,0,13.201,0,,,,0,0,50.442,0,100,0,8,,,,,,,,,,,,,,,,,,,,,1,1,27,2,,40,6,,,,,,FL_39,FL_94,,,,Q155|vB_mf_sue_AV_intv|vA_sue_AV_intv,Q158|avoid_AV_intv,,,,
2024-06-03 19:44:25,2024-06-03 19:45:30,0,67.176.232.104,100,64,1,2024-06-03 19:45:30,R_65sG4nCp6biC5i6,,,,,39.8616,-88.9355,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03 19:45:33,2024-06-03 19:45:51,0,67.176.232.104,100,18,1,2024-06-03 19:45:52,R_7R9Niyoc4HExuyp,,,,,39.8616,-88.9355,anonymous,EN,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03 19:40:14,2024-06-03 19:46:19,0,74.207.151.204,100,364,1,2024-06-03 19:46:19,R_3n8Ih9NUFhiefhK,,,,,48.2261,-101.2974,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,5.605,16.181,17.269,2,1.815,1.815,13.413,1,,,,,16.881,19.751,21.772,2,100,0,0,0,2,1,0,2,,34,4,,,,,,FL_40,,FL_100,,,,,,,Q164|vA_sue_intv|vB_sue_intv|vB_mf_sue_intv,Q167|avoid_intv
2024-06-03 19:43:32,2024-06-03 19:46:20,0,100.40.18.201,100,167,1,2024-06-03 19:46:21,R_6JJClv2psCgigyV,,,,,41.5099,-71.7365,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,14.775,14.775,23.4,1,0,0,10.97,0,,,,,14.592,23.982,28.352,5,100,0,50,8,1,1,0,1,,42,4,,,,,,FL_40,,FL_100,,,,,,,Q164|vB_sue_intv|vA_sue_intv|vB_mf_sue_intv,Q167|avoid_intv
2024-06-03 19:42:03,2024-06-03 19:46:53,0,172.56.2.32,100,290,1,2024-06-03 19:46:54,R_6e7UhcsxrJGtHRz,,,,,38.9522,-77.0253,anonymous,EN,1,2,2,0,0,25.245,0,0,0,18.077,0,84,21,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,,37,4,,,,,,FL_39,FL_93,,Q116|vA_sue_AV|vB_mf_sue_AV,Q122|avoid_AV,,,,,,
2024-06-03 19:46:27,2024-06-03 19:46:57,0,71.90.94.181,100,29,1,2024-06-03 19:46:57,R_5QYa7LrZrXoSXyl,,,,,42.417,-88.9995,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03 19:37:20,2024-06-03 19:46:57,0,73.183.21.209,100,576,1,2024-06-03 19:46:57,R_6FJJFKOHlWmBHY1,,,,,40.3469,-79.8689,anonymous,EN,1,2,2,23.415,72.859,74.11,22,58.036,58.945,59.982,6,,,,16.374,16.75,20.223,3,91,11,12,,,,,,,,,,,,,,,,,,,,,1,1,50,2,,47,3,,,,,,FL_39,FL_94,,,,Q155|vB_mf_sue_AV_intv|vA_sue_AV_intv,Q158|avoid_AV_intv,,,,
2024-06-03 19:41:35,2024-06-03 19:47:19,0,167.224.129.203,100,344,1,2024-06-03 19:47:20,R_3wuZM3C5bojyGIR,,,,,35.9564,-94.4279,anonymous,EN,1,2,2,0,0,38.377,0,0,0,19.923,0,,,,0,0,72.818,0,100,10,10,,,,,,,,,,,,,,,,,,,,,1,1,0,1,,42,3,,,,,,FL_39,FL_94,,,,Q155|vB_mf_sue_AV_intv|vA_sue_AV_intv,Q158|avoid_AV_intv,,,,
2024-06-03 19:40:08,2024-06-03 19:47:42,0,74.67.99.210,100,453,1,2024-06-03 19:47:42,R_51b6oXx6IYBU9bf,,,,,42.1431,-76.0506,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,18.331,36.537,37.699,4,2.59,15.104,16.405,2,100,0,10,0,,,,,,,,,2,1,0,2,,47,3,,,,,,FL_40,,FL_99,,,,,Q90|vB_driver_sue|vB_mf_sue|vA_sue,Q71|avoid,,
2024-06-03 19:47:00,2024-06-03 19:51:11,0,71.90.94.181,100,251,1,2024-06-03 19:51:12,R_5zZ31XNdln1mK4K,,,,,42.417,-88.9995,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,3.526,23.856,24.548,6,2.372,14.022,14.86,4,,,,,7.509,23.33,25.479,4,100,5,0,60,2,1,10,2,,25,3,,,,,,FL_40,,FL_100,,,,,,,Q164|vB_sue_intv|vA_sue_intv|vB_mf_sue_intv,Q167|avoid_intv
2024-06-03 19:50:26,2024-06-03 19:54:22,0,12.75.116.42,100,235,1,2024-06-03 19:54:23,R_12kJcH6EhRwls9d,,,,,45.5248,-122.6789,anonymous,EN,1,2,2,6.886,6.886,24.404,1,2.147,7.06,10.997,8,100,63,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,65,2,,52,4,,,,,,FL_39,FL_93,,Q116|vA_sue_AV|vB_mf_sue_AV,Q122|avoid_AV,,,,,,
2024-06-03 19:55:26,2024-06-03 19:56:02,0,70.230.110.159,100,36,1,2024-06-03 19:56:02,R_3ZWRRTzB93NphzA,,,,,31.7899,-106.3658,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03 19:53:33,2024-06-03 19:56:13,0,76.186.1.122,100,160,1,2024-06-03 19:56:14,R_6MmXrGxT2Bc2Qrn,,,,,29.5211,-98.3293,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,0,0,17.837,0,0,0,12.233,0,,,,,0,0,17.364,0,100,100,21,0,2,1,39,1,,42,4,,,,,,FL_40,,FL_100,,,,,,,Q164|vB_mf_sue_intv|vB_sue_intv|vA_sue_intv,Q167|avoid_intv
2024-06-03 19:54:15,2024-06-03 19:56:34,0,136.34.51.56,100,138,1,2024-06-03 19:56:35,R_7omZK4squZY3L3g,,,,,39.1484,-94.5686,anonymous,EN,1,2,2,0,0,15.168,0,0,0,12.776,0,,,,0,0,14.589,0,100,0,2,,,,,,,,,,,,,,,,,,,,,1,1,24,2,,34,5,,,,,,FL_39,FL_94,,,,Q155|vB_mf_sue_AV_intv|vA_sue_AV_intv,Q158|avoid_AV_intv,,,,
2024-06-03 19:56:30,2024-06-03 19:58:36,0,68.47.119.113,100,125,1,2024-06-03 19:58:36,R_3CvYxB3wN42AE9B,,,,,44.8696,-93.3266,anonymous,EN,1,2,2,16.639,16.639,17.179,1,0,0,13.973,0,,,,0,0,16.332,0,100,5,40,,,,,,,,,,,,,,,,,,,,,1,1,6,2,,33,5,,,,,,FL_39,FL_94,,,,Q155|vB_mf_sue_AV_intv|vA_sue_AV_intv,Q158|avoid_AV_intv,,,,
2024-06-03 19:56:10,2024-06-03 19:59:27,0,70.230.110.159,100,196,1,2024-06-03 19:59:27,R_1Ld9de926PnpmRo,,,,,31.7899,-106.3658,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,2.183,17.086,18.016,2,14.749,14.749,15.579,1,100,0,0,0,,,,,,,,,2,1,0,2,,52,5,,,,,,FL_40,,FL_99,,,,,Q90|vB_driver_sue|vA_sue|vB_mf_sue,Q71|avoid,,
