StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_liable_AV_1,vB_mnfctr_liable_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_liable_1,vB_driver_liable_1,vB_mnfctr_liable_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp1,comp_accident,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO
2023-04-02 12:07:35,2023-04-02 12:09:53,0,73.177.37.36,100,137,1,2023-04-02 12:09:53,R_26ak4rr9REAFzxL,,,,,35.2083,-89.8058,anonymous,EN,1,2,2,0,0,28.17,0,0,0,10.768,0,100,50,100,72,63,,,,,,,,,,,,,,,1,1,0,2,,38,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,
2023-04-02 12:06:36,2023-04-02 12:09:54,0,191.101.41.59,100,197,1,2023-04-02 12:09:54,R_2fD0Ogl7e8JM0P1,,,,,40.7123,-74.0068,anonymous,EN,1,2,2,,,,,,,,,,,,,,24.678,24.678,27.327,1,5.489,5.489,12.204,1,100,16,50,14,17,10,2,1,17,2,,55,4,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-04-02 12:08:22,2023-04-02 12:09:56,0,72.221.30.195,100,93,1,2023-04-02 12:09:56,R_BM9T3e6RB0l2FfX,,,,,33.3054,-111.7401,anonymous,EN,1,2,2,0,0,11.042,0,0,0,10.882,0,100,4,100,55,57,,,,,,,,,,,,,,,1,1,70,1,,23,4,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,
2023-04-02 12:06:35,2023-04-02 12:10:05,0,47.152.178.145,100,210,1,2023-04-02 12:10:06,R_26by58gtnIC26Hx,,,,,33.9242,-116.8854,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,17.105,0,0,0,10.955,0,100,0,0,100,5,0,2,1,20,1,,51,4,,FL_40,,,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-04-02 12:07:29,2023-04-02 12:10:08,0,104.182.73.53,100,158,1,2023-04-02 12:10:08,R_wXJWJoRigR9NYtz,,,,,38.7987,-90.5034,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,27.394,0,0,0,11.28,0,92,8,8,100,18,17,2,1,19,2,,64,4,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-04-02 12:06:53,2023-04-02 12:10:32,0,76.120.190.164,100,218,1,2023-04-02 12:10:32,R_3PtdatOzfcdeLJq,,,,,40.1678,-80.2591,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,19.476,0,0,0,12.7,0,100,0,1,100,2,0,2,1,60,1,,57,3,,FL_40,,,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-04-02 12:08:42,2023-04-02 12:10:39,0,73.157.211.54,100,116,1,2023-04-02 12:10:39,R_3qPsx0HMPhlsSAI,,,,,45.5288,-122.6821,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,12.608,0,0,0,10.997,0,100,0,0,100,0,0,2,1,50,1,,39,3,,FL_40,,,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-04-02 12:07:40,2023-04-02 12:10:46,0,24.116.141.253,100,185,1,2023-04-02 12:10:46,R_ub8TuZlFO5YYdxf,,,,,43.6138,-116.3972,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,20.689,0,0,0,14.441,0,98,3,0,100,20,55,2,1,30,1,,36,7,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-04-02 12:07:36,2023-04-02 12:10:50,0,24.197.244.11,100,194,1,2023-04-02 12:10:51,R_7P60krr45jrDuE1,,,,,43.8013,-91.2134,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,18.429,0,3.344,4.961,15.874,2,100,0,0,100,40,25,2,1,0,1,,41,1,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-04-02 12:08:35,2023-04-02 12:10:59,0,50.81.155.36,100,144,1,2023-04-02 12:11:00,R_2WI6JpMintUKyQ0,,,,,41.5822,-93.6802,anonymous,EN,1,2,2,0,0,16.428,0,0,0,11.146,0,100,5,100,16,19,,,,,,,,,,,,,,,1,1,0,2,,50,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,
2023-04-02 12:07:19,2023-04-02 12:11:02,0,24.247.232.73,100,222,1,2023-04-02 12:11:02,R_esTG35a52hJ3tip,,,,,43.3904,-86.3315,anonymous,EN,1,2,2,,,,,,,,,,,,,,1.419,32.482,33.216,6,0,0,19.146,0,100,0,0,50,50,19,2,1,21,2,,41,4,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-04-02 12:09:00,2023-04-02 12:11:02,0,172.58.62.140,100,122,1,2023-04-02 12:11:02,R_3Hp2XtQe1rqUErI,,,,,39.7388,-104.9868,anonymous,EN,1,2,2,,,,,,,,,,,,,,4.213,11.941,14.381,2,0,0,11.537,0,100,0,22,100,0,0,2,1,22,2,,48,4,,FL_40,,,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-04-02 12:08:07,2023-04-02 12:11:02,0,104.136.45.88,100,175,1,2023-04-02 12:11:03,R_279lpX7sqWAyisP,,,,,28.7935,-81.2868,anonymous,EN,1,2,2,,,,,,,,,,,,,,3.756,28.484,32.395,2,0,0,11.382,0,100,0,9,100,9,3,2,1,0,2,,52,5,,FL_40,,,Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-04-02 12:07:47,2023-04-02 12:11:06,0,98.45.179.230,100,198,1,2023-04-02 12:11:07,R_BPObZLDUmIjrDLH,,,,,37.3479,-122.0351,anonymous,EN,1,2,2,,,,,,,,,,,,,,35.474,36.427,36.936,2,0,0,11.802,0,100,0,0,100,59,63,2,2,36,2,,35,3,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-04-02 12:08:26,2023-04-02 12:11:13,0,74.215.243.202,100,167,1,2023-04-02 12:11:14,R_1FA671aK3TQuhlN,,,,,39.4025,-84.522,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,25.267,0,0,0,16.052,0,100,0,29,83,14,0,2,1,0,2,,46,4,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-04-02 12:07:11,2023-04-02 12:11:18,0,149.46.136.254,100,246,1,2023-04-02 12:11:18,R_2CVeCh3rmL8fdno,,,,,39.0469,-77.4903,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,48.483,0,0,0,19.821,0,60,40,40,60,40,40,1,1,70,1,,34,4,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-04-02 12:07:12,2023-04-02 12:11:30,0,75.189.199.208,100,257,1,2023-04-02 12:11:30,R_umhpl5wATSAwKiJ,,,,,35.961,-78.9291,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,34.395,0,0,0,14.537,0,100,0,10,100,0,20,2,1,10,2,,47,5,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-04-02 12:08:46,2023-04-02 12:11:31,0,71.197.196.194,100,164,1,2023-04-02 12:11:31,R_1KfBFkT8D8iLNDK,,,,,47.285,-122.5036,anonymous,EN,1,2,2,,,,,,,,,,,,,,4.385,4.385,30.81,1,0,0,20.313,0,0,100,0,100,100,100,1,1,100,2,,23,5,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-04-02 12:06:47,2023-04-02 12:11:42,0,50.205.71.90,100,294,1,2023-04-02 12:11:42,R_eJagoTdUZQ31FAZ,,,,,36.0984,-87.7975,anonymous,EN,1,2,2,15.029,31.013,32.361,2,3.413,12.325,13.04,2,100,30,100,90,80,,,,,,,,,,,,,,,1,1,70,2,,61,1,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,
2023-04-02 12:08:02,2023-04-02 12:11:50,0,73.67.74.119,100,227,1,2023-04-02 12:11:51,R_3F5p8ilF5JmTkm5,,,,,28.8064,-81.8869,anonymous,EN,1,2,2,13.723,32.485,33.491,2,12.356,12.356,13.301,1,97,19,96,61,38,,,,,,,,,,,,,,,1,1,8,2,,59,4,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2023-04-02 12:08:19,2023-04-02 12:11:59,0,71.61.87.155,100,220,1,2023-04-02 12:12:00,R_2rpXoLdDbHEl8MP,,,,,40.0223,-79.0716,anonymous,EN,1,2,2,9.776,9.776,12.679,1,0,0,75.115,0,100,44,47,4,31,,,,,,,,,,,,,,,1,1,76,2,,24,1,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2023-04-02 12:09:12,2023-04-02 12:12:07,0,73.178.39.89,100,175,1,2023-04-02 12:12:07,R_3gNq2zk5NU0Y0fg,,,,,39.9464,-75.0517,anonymous,EN,1,2,2,0,0,29.549,0,0,0,13.274,0,88,12,100,100,93,,,,,,,,,,,,,,,1,1,85,1,,37,3,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,
2023-04-02 12:07:56,2023-04-02 12:12:10,0,166.205.87.44,100,253,1,2023-04-02 12:12:10,R_322VC4adMMu9ABt,,,,,38.581,-121.4939,anonymous,EN,1,2,2,18.234,18.234,42.637,1,0,0,11.474,0,93,84,100,9,20,,,,,,,,,,,,,,,1,1,0,2,,32,3,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2023-04-02 12:09:01,2023-04-02 12:12:11,0,38.68.47.2,100,189,1,2023-04-02 12:12:11,R_2fy58u14KHjvlId,,,,,37.751,-97.822,anonymous,EN,1,2,2,0,0,34.288,0,0,0,19.475,0,91,72,92,83,74,,,,,,,,,,,,,,,1,2,82,2,,24,5,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,
2023-04-02 12:08:57,2023-04-02 12:12:18,0,23.242.160.135,100,200,1,2023-04-02 12:12:18,R_3scX16td6CEuE4X,,,,,34.2106,-118.8716,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,20.903,0,0,0,11.111,0,100,0,0,100,50,0,2,2,50,1,,30,4,,FL_40,,,Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-04-02 12:07:47,2023-04-02 12:12:23,0,121.91.225.87,100,275,1,2023-04-02 12:12:24,R_31MYfCRkubZR6mo,,,,,47.6859,-122.2994,anonymous,EN,1,2,2,0,0,22.86,0,0,0,18.363,0,76,56,90,72,64,,,,,,,,,,,,,,,1,1,63,1,,42,5,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,
2023-04-02 12:10:18,2023-04-02 12:12:23,0,104.185.143.53,100,125,1,2023-04-02 12:12:24,R_3oI8ayWaBejqv9F,,,,,40.4538,-122.3282,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,15.839,0,10.901,10.901,11.238,1,100,0,5,100,0,0,2,1,9,4,non-binary,37,5,,FL_40,,,Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-04-02 12:10:32,2023-04-02 12:12:35,0,98.149.15.211,100,123,1,2023-04-02 12:12:36,R_3L1pK5sAtJHjAaE,,,,,33.7518,-117.9932,anonymous,EN,1,2,2,0,0,11.389,0,0,0,10.817,0,100,27,85,43,32,,,,,,,,,,,,,,,2,1,44,2,,21,4,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2023-04-02 12:08:24,2023-04-02 12:12:36,0,74.122.58.79,100,252,1,2023-04-02 12:12:37,R_323eFfkWa8M4pEu,,,,,39.0469,-77.4903,anonymous,EN,1,2,2,0,0,13.111,0,0,0,11.556,0,79,20,70,45,43,,,,,,,,,,,,,,,1,1,74,2,,29,4,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2023-04-02 12:06:53,2023-04-02 12:12:46,0,75.45.53.195,100,352,1,2023-04-02 12:12:46,R_z0WXQGxyb9yRpsZ,,,,,29.7646,-95.3657,anonymous,EN,1,2,2,5.962,5.962,13.123,1,0,0,11.069,0,90,17,83,34,12,,,,,,,,,,,,,,,1,1,50,1,,27,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2023-04-02 12:09:22,2023-04-02 12:12:49,0,174.106.150.59,100,206,1,2023-04-02 12:12:52,R_2OQ1ELdXziCVimA,,,,,34.4344,-77.9234,anonymous,EN,1,2,2,,,,,,,,,,,,,,21.867,21.867,23.496,1,26.275,26.275,29.268,1,100,100,0,100,100,100,2,1,0,2,,49,1,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-04-02 12:09:11,2023-04-02 12:13:03,0,24.3.203.182,100,232,1,2023-04-02 12:13:04,R_2f0pYoND3F3Tv0r,,,,,39.494,-80.2221,anonymous,EN,1,2,2,0,0,26.345,0,0,0,14.56,0,100,0,100,0,0,,,,,,,,,,,,,,,1,1,0,2,,62,5,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2023-04-02 12:11:53,2023-04-02 12:13:13,0,72.227.217.37,100,79,1,2023-04-02 12:13:14,R_3Mb9YXYO39ZLNkM,,,,,40.5468,-74.1804,anonymous,EN,1,2,2,,,,,,,,,,,,,,7.16,10.77,11.012,2,6.42,10.666,11.137,2,68,39,62,70,47,38,2,1,0,2,,23,4,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-04-02 12:08:15,2023-04-02 12:13:26,0,72.235.77.75,100,310,1,2023-04-02 12:13:26,R_22G4MSzzuc1Hf3q,,,,,19.706,-155.0928,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,24.127,0,10.995,10.995,11.016,1,100,100,0,100,0,100,2,1,0,2,,46,5,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-04-02 12:07:55,2023-04-02 12:13:33,0,73.237.86.42,100,338,1,2023-04-02 12:13:34,R_O22uoM0qqYqg5Cp,,,,,33.8336,-84.3797,anonymous,EN,1,2,2,0,0,25.479,0,13.018,13.018,13.6,1,100,0,80,39,11,,,,,,,,,,,,,,,1,1,69,1,,32,4,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
