StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,av_trust_1_1,av_trust_2_1,av_trust_3_1,av_trust_4_1,av_trust_5_1,Q219_First Click,Q219_Last Click,Q219_Page Submit,Q219_Click Count,vA_sue_AV_1,vB_mnfctr_sue_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,Q220_First Click,Q220_Last Click,Q220_Page Submit,Q220_Click Count,vA_sue_1,vB_mnfctr_sue_1,vB_driver_sue_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp1,comp_accident,cruise_familiarity,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,trust_scale_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO
2024-05-06 09:05:54,2024-05-06 09:05:54,2,,100,0,1,2024-05-06 09:05:54,R_afSlwm4NWTCy182,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:54,2024-05-06 09:05:54,2,,100,0,1,2024-05-06 09:05:54,R_8HYxFWF02l5cQw6,,,,,,,test,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:54,2024-05-06 09:05:54,2,,100,0,1,2024-05-06 09:05:55,R_eCzAXR0w0dP2LOe,,,,,,,test,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:55,2024-05-06 09:05:55,2,,100,0,1,2024-05-06 09:05:55,R_7WMDWGakRiEwL4O,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:55,2024-05-06 09:05:55,2,,100,0,1,2024-05-06 09:05:55,R_0W0FVCMZpMLI1kW,,,,,,,test,,1,2,2,85,7,50,32,87,,,,,,,,,,5.7,6.73,9.38,4,27,99,18,69,55,97,3,1,1,19,3,,"Duis, eget felis risus ut fermentum vehicula nibh vel vitae cursus a porttitor tellus fusce.",2,,FL_40,Q241|av_trust_1|av_trust_2|av_trust_3|av_trust_5|av_trust_4,,,Q90|vB_driver_sue|vA_sue|vB_mnfctr_sue,Q71|vB_cntrfctl|avoid|vA_cntrfctl
2024-05-06 09:05:55,2024-05-06 09:05:55,2,,100,0,1,2024-05-06 09:05:55,R_9v0WdJPGNOos96K,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:56,2024-05-06 09:05:56,2,,100,0,1,2024-05-06 09:05:56,R_1AlYcLNqa830Qsu,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:56,2024-05-06 09:05:56,2,,100,0,1,2024-05-06 09:05:56,R_3gGhjj4zs8pHylg,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:56,2024-05-06 09:05:56,2,,100,0,1,2024-05-06 09:05:56,R_9N9u18MgXNOOqQS,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:56,2024-05-06 09:05:56,2,,100,0,1,2024-05-06 09:05:56,R_b335Bs82pz8nnP8,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:56,2024-05-06 09:05:56,2,,100,0,1,2024-05-06 09:05:57,R_0jgSKb1DppTHKZM,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:57,2024-05-06 09:05:57,2,,100,0,1,2024-05-06 09:05:57,R_0AsR6XI9ros1vwO,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:57,2024-05-06 09:05:57,2,,100,0,1,2024-05-06 09:05:57,R_5BTtItvdwb6cH2u,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:57,2024-05-06 09:05:57,2,,100,0,1,2024-05-06 09:05:57,R_dck1SsCFo0Ddv5I,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:57,2024-05-06 09:05:57,2,,100,0,1,2024-05-06 09:05:57,R_7Wja3oerpGCJ6MS,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:58,2024-05-06 09:05:58,2,,100,0,1,2024-05-06 09:05:58,R_0Th2HyYyy77f6UC,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:58,2024-05-06 09:05:58,2,,100,0,1,2024-05-06 09:05:58,R_ekYQF7fAzcSoDki,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:58,2024-05-06 09:05:58,2,,100,0,1,2024-05-06 09:05:58,R_d6kg5CsjXnVYNeK,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:58,2024-05-06 09:05:58,2,,100,0,1,2024-05-06 09:05:58,R_bse48cl4GqqsoNE,,,,,,,test,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:58,2024-05-06 09:05:59,2,,100,1,1,2024-05-06 09:05:59,R_1NtVAABaIAelz0y,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:59,2024-05-06 09:05:59,2,,100,0,1,2024-05-06 09:05:59,R_egjnvFB1NWMf29E,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:59,2024-05-06 09:05:59,2,,100,0,1,2024-05-06 09:05:59,R_8dB9Rkqtuz3WlkW,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:59,2024-05-06 09:05:59,2,,100,0,1,2024-05-06 09:05:59,R_aVHN7m6A6o6m4K2,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:59,2024-05-06 09:05:59,2,,100,0,1,2024-05-06 09:06:00,R_4O9SQd91X7c5iSi,,,,,,,test,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:00,2024-05-06 09:06:00,2,,100,0,1,2024-05-06 09:06:00,R_2a7YyYDJ0lnPy8S,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:00,2024-05-06 09:06:00,2,,100,0,1,2024-05-06 09:06:00,R_3XfmfqDnP1sL9IO,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:00,2024-05-06 09:06:00,2,,100,0,1,2024-05-06 09:06:00,R_8c9T60rVKIfUIJw,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:00,2024-05-06 09:06:00,2,,100,0,1,2024-05-06 09:06:01,R_6PeuOi58vICWWrA,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:01,2024-05-06 09:06:01,2,,100,0,1,2024-05-06 09:06:01,R_6XOZtIcJwjrCQ3Y,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:01,2024-05-06 09:06:01,2,,100,0,1,2024-05-06 09:06:01,R_24gJJrw7FNlC5eK,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:01,2024-05-06 09:06:01,2,,100,0,1,2024-05-06 09:06:01,R_7U2Akjke5KoIu9w,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:01,2024-05-06 09:06:01,2,,100,0,1,2024-05-06 09:06:02,R_3WrMDhU9gyzSGRE,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:02,2024-05-06 09:06:02,2,,100,0,1,2024-05-06 09:06:02,R_4Jf8S2zCitdaQtM,,,,,,,test,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:02,2024-05-06 09:06:02,2,,100,0,1,2024-05-06 09:06:02,R_9ukTzfnPQhv3fRs,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:02,2024-05-06 09:06:02,2,,100,0,1,2024-05-06 09:06:02,R_8iVkQyGGN4zLM0K,,,,,,,test,,1,2,2,51,57,68,7,63,7.83,9.09,9.72,41,30,87,46,86,76,,,,,,,,,,,3,1,1,53,4,Ipsum tincidunt est pharetra vehicula laoreet lacus nunc. Consectetuer faucibus wisi. Ab! Integer rutrum.,Dignissim lacus imperdiet tortor molestie velit elit placerat vulputate suscipit.,3,,FL_39,Q241|av_trust_1|av_trust_2|av_trust_5|av_trust_4|av_trust_3,Q116|vB_mnfctr_sue_AV|vA_sue_AV,Q122|vA_cntrfctl_AV|avoid_AV|vB_cntrfctl_AV,,
2024-05-06 09:06:03,2024-05-06 09:06:03,2,,100,0,1,2024-05-06 09:06:03,R_aWTbOeGL6tEBwG2,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:03,2024-05-06 09:06:03,2,,100,0,1,2024-05-06 09:06:03,R_3Kqz7nDGBazLs58,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:03,2024-05-06 09:06:03,2,,100,0,1,2024-05-06 09:06:03,R_0roMDvsbVbiFQXk,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:03,2024-05-06 09:06:03,2,,100,0,1,2024-05-06 09:06:03,R_cSEKV6fZ3b3GuxM,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:04,2024-05-06 09:06:04,2,,100,0,1,2024-05-06 09:06:04,R_8qUPcXmrbYT2vIy,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:04,2024-05-06 09:06:04,2,,100,0,1,2024-05-06 09:06:04,R_6LrbUgeuwxcPOU6,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:04,2024-05-06 09:06:04,2,,100,0,1,2024-05-06 09:06:04,R_bxy8Xfj82CuBsXQ,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:04,2024-05-06 09:06:04,2,,100,0,1,2024-05-06 09:06:04,R_87FtAcWWab7Zbr8,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:05,2024-05-06 09:06:05,2,,100,0,1,2024-05-06 09:06:05,R_dcdO82KRbvAYSEu,,,,,,,test,,1,2,2,19,62,58,99,84,,,,,,,,,,7.39,8.07,9.7,30,26,66,30,74,5,67,3,1,1,47,3,,"Leo montes tempor sollicitudin, enim velit eget duis tempor auctor fermentum. Elit. Turpis accumsan.",7,,FL_40,Q241|av_trust_1|av_trust_3|av_trust_5|av_trust_2|av_trust_4,,,Q90|vB_mnfctr_sue|vA_sue|vB_driver_sue,Q71|vB_cntrfctl|avoid|vA_cntrfctl
2024-05-06 09:06:05,2024-05-06 09:06:05,2,,100,0,1,2024-05-06 09:06:05,R_4MkGzb65RohZ6uy,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:05,2024-05-06 09:06:05,2,,100,0,1,2024-05-06 09:06:05,R_81H9u6O1x3XZiJg,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:05,2024-05-06 09:06:05,2,,100,0,1,2024-05-06 09:06:05,R_bdfH72ygPOtgg5w,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:06,2024-05-06 09:06:06,2,,100,0,1,2024-05-06 09:06:06,R_3rURuXANraoNMQm,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:06,2024-05-06 09:06:06,2,,100,0,1,2024-05-06 09:06:06,R_1zXLAStf4CVxSlM,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:06,2024-05-06 09:06:06,2,,100,0,1,2024-05-06 09:06:06,R_4THUpmMLYQN1apE,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:06,2024-05-06 09:06:06,2,,100,0,1,2024-05-06 09:06:07,R_dguOcxaeMNymveS,,,,,,,test,,1,2,2,50,10,59,95,40,0.3,7.85,8.97,13,93,47,68,25,8,,,,,,,,,,,1,1,2,59,2,,Convallis egestas culpa orci integer etiam enim etiam eleifend nullam. Quis.,8,"Sollicitudin pellentesque nibh neque sollicitudin, vulputate platea? Nec eget luctus a ut elementum fringilla porttitor.",FL_39,Q241|av_trust_4|av_trust_5|av_trust_1|av_trust_3|av_trust_2,Q116|vB_mnfctr_sue_AV|vA_sue_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2024-05-06 09:06:07,2024-05-06 09:06:07,2,,100,0,1,2024-05-06 09:06:07,R_9tVr46WGLpdoZ7g,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:07,2024-05-06 09:06:07,2,,100,0,1,2024-05-06 09:06:07,R_5pVQHZwWfjaMsTA,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:07,2024-05-06 09:06:07,2,,100,0,1,2024-05-06 09:06:07,R_8ertMWzGGwa9kdo,,,,,,,test,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:07,2024-05-06 09:06:07,2,,100,0,1,2024-05-06 09:06:08,R_bphMbobD5GlCg6i,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:08,2024-05-06 09:06:08,2,,100,0,1,2024-05-06 09:06:08,R_410dEARTYdayEGG,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:08,2024-05-06 09:06:08,2,,100,0,1,2024-05-06 09:06:08,R_ag6Z3P1iYpQMItg,,,,,,,test,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:08,2024-05-06 09:06:08,2,,100,0,1,2024-05-06 09:06:08,R_795jaSxQPy5bsHk,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:08,2024-05-06 09:06:08,2,,100,0,1,2024-05-06 09:06:09,R_6eYezaUgDeNyMHY,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:06:09,2024-05-06 09:06:09,2,,100,0,1,2024-05-06 09:06:09,R_8vw9xZvExErpUqi,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
