StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_liable_AV_1,vB_mnfctr_liable_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_liable_1,vB_driver_liable_1,vB_mnfctr_liable_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp1,comp_accident,av_trust_1_1,av_trust_2_1,av_trust_3_1,av_trust_4_1,av_trust_5_1,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO,trust_scale_DO
2023-04-04 09:57:07,2023-04-04 09:58:57,0,216.177.161.238,100,110,1,2023-04-04 09:58:58,R_1hFP51tre5y4n2F,,,,,29.8931,-98.6857,anonymous,EN,1,2,2,0,0,16.981,0,10.984,10.984,11.253,1,100,0,100,0,0,,,,,,,,,,,,,,,1,1,50,50,31,36,85,29,1,,34,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_1|av_trust_2|av_trust_4|av_trust_3|av_trust_5
2023-04-04 09:56:07,2023-04-04 09:58:58,0,65.151.180.71,100,170,1,2023-04-04 09:58:58,R_2Y52zZjw1drM6tV,,,,,47.6137,-122.3104,anonymous,EN,1,2,2,5.781,5.781,21.965,1,0,0,10.998,0,100,0,100,10,50,,,,,,,,,,,,,,,1,1,10,10,10,40,70,10,1,,44,2,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_5|av_trust_4|av_trust_1|av_trust_2|av_trust_3
2023-04-04 09:56:45,2023-04-04 09:59:01,0,98.233.89.114,100,135,1,2023-04-04 09:59:01,R_2QM5QBRlcH1NgJ6,,,,,38.9994,-77.0336,anonymous,EN,1,2,2,16.72,25.315,26.456,2,0,0,13.039,0,100,0,100,0,0,,,,,,,,,,,,,,,1,1,100,100,100,100,0,0,1,,36,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_2|av_trust_4|av_trust_1|av_trust_5|av_trust_3
2023-04-04 09:56:23,2023-04-04 09:59:02,0,174.54.227.185,100,158,1,2023-04-04 09:59:02,R_2WHCKwY2xduvbna,,,,,39.7459,-76.6859,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,17.119,0,0,0,11.285,0,100,0,0,100,0,0,2,1,0,0,0,0,100,0,2,,36,1,,FL_40,,,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,trust_intro|av_trust_5|av_trust_1|av_trust_2|av_trust_4|av_trust_3
2023-04-04 09:55:47,2023-04-04 09:59:11,0,71.76.184.250,100,203,1,2023-04-04 09:59:11,R_3iVbASzweeBLyV7,,,,,36.002,-80.0004,anonymous,EN,1,2,2,0,0,29.077,0,0,0,12.783,0,100,0,100,0,9,,,,,,,,,,,,,,,1,1,75,80,75,90,10,90,1,,39,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_3|av_trust_1|av_trust_5|av_trust_4|av_trust_2
2023-04-04 09:56:40,2023-04-04 09:59:23,0,35.131.159.130,100,162,1,2023-04-04 09:59:24,R_3ReiVsqNHota9ix,,,,,34.2283,-77.9519,anonymous,EN,1,2,2,13.567,13.567,14.408,1,13.06,13.06,13.584,1,100,0,100,0,0,,,,,,,,,,,,,,,1,1,30,15,40,40,60,0,2,,34,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_3|av_trust_1|av_trust_5|av_trust_4|av_trust_2
2023-04-04 09:55:43,2023-04-04 09:59:26,0,70.172.187.42,100,223,1,2023-04-04 09:59:26,R_2YfYfNuFvggVc9n,,,,,41.519,-71.162,anonymous,EN,1,2,2,,,,,,,,,,,,,,6.215,23.309,24.026,4,0,0,10.936,0,100,0,10,100,13,20,2,1,0,0,0,0,100,31,1,,55,4,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,trust_intro|av_trust_2|av_trust_4|av_trust_1|av_trust_5|av_trust_3
2023-04-04 09:55:42,2023-04-04 09:59:29,0,50.246.214.69,100,227,1,2023-04-04 09:59:30,R_2CqRlbuM5etjiHE,,,,,39.7067,-104.9694,anonymous,EN,1,2,2,0,0,28.235,0,11.179,11.179,15.568,1,96,23,100,40,56,,,,,,,,,,,,,,,1,1,57,58,21,34,61,35,1,,32,7,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_5|av_trust_3|av_trust_1|av_trust_4|av_trust_2
2023-04-04 09:56:47,2023-04-04 09:59:30,0,129.15.64.229,100,163,1,2023-04-04 09:59:31,R_3QS4D2VIFzzNQEe,,,,,35.2025,-97.4835,anonymous,EN,1,2,2,,,,,,,,,,,,,,1.187,5.259,15.228,2,0,0,11.584,0,100,0,5,100,8,6,2,1,7,14,1,7,94,21,2,,23,3,,FL_40,,,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,trust_intro|av_trust_1|av_trust_3|av_trust_4|av_trust_2|av_trust_5
2023-04-04 09:55:30,2023-04-04 09:59:37,0,75.139.129.74,100,246,1,2023-04-04 09:59:37,R_1f2EB1jq2JyIgCQ,,,,,34.1138,-83.9991,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,18.865,0,0,0,11.327,0,100,0,0,100,20,0,2,1,0,40,25,60,81,65,2,,45,4,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,trust_intro|av_trust_2|av_trust_3|av_trust_1|av_trust_4|av_trust_5
2023-04-04 09:57:26,2023-04-04 09:59:45,0,208.180.65.82,100,138,1,2023-04-04 09:59:45,R_1H0ueISFhzcRtqg,,,,,30.6908,-96.3787,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,30.408,0,0,0,16.362,0,100,0,0,99,9,0,2,1,2,14,9,0,14,50,2,,31,4,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,trust_intro|av_trust_2|av_trust_1|av_trust_4|av_trust_5|av_trust_3
2023-04-04 09:55:59,2023-04-04 09:59:55,0,98.207.187.249,100,235,1,2023-04-04 09:59:55,R_1eCMoyesaaeHIP2,,,,,37.7506,-122.4121,anonymous,EN,1,2,2,0,0,13.54,0,0,0,13.632,0,100,0,100,0,0,,,,,,,,,,,,,,,1,1,50,90,50,50,20,70,2,,34,5,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_5|av_trust_2|av_trust_4|av_trust_3|av_trust_1
2023-04-04 09:57:20,2023-04-04 09:59:56,0,159.26.240.228,100,155,1,2023-04-04 09:59:57,R_26m2b2J1rUZxNzH,,,,,36.7932,-76.0135,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,11.468,0,0,0,12.557,0,100,0,0,100,0,0,2,1,60,70,50,70,40,81,1,,45,3,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,trust_intro|av_trust_3|av_trust_2|av_trust_5|av_trust_4|av_trust_1
2023-04-04 09:57:11,2023-04-04 09:59:59,0,159.118.192.186,100,167,1,2023-04-04 09:59:59,R_1KwgRqzh0zuErTc,,,,,43.5441,-116.5662,anonymous,EN,1,2,2,,,,,,,,,,,,,,18.248,23.486,24.842,3,4.463,4.463,17.741,1,100,0,0,100,0,0,2,1,0,0,0,0,95,9,2,,41,4,,FL_40,,,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,trust_intro|av_trust_1|av_trust_5|av_trust_2|av_trust_3|av_trust_4
2023-04-04 09:56:43,2023-04-04 10:00:01,0,75.203.159.40,100,197,1,2023-04-04 10:00:01,R_1pN0Bbc5hcvMFq3,,,,,40.7849,-111.9338,anonymous,EN,1,2,2,0,0,28.079,0,0,0,10.948,0,99,1,100,0,0,,,,,,,,,,,,,,,1,1,82,88,80,81,24,77,1,,45,5,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_3|av_trust_2|av_trust_1|av_trust_5|av_trust_4
2023-04-04 09:57:15,2023-04-04 10:00:03,0,217.180.216.127,100,168,1,2023-04-04 10:00:04,R_1GBsVb2DyYPAy0n,,,,,42.9656,-85.65,anonymous,EN,1,2,2,0,0,15.617,0,11.832,11.832,12.162,1,100,30,100,60,40,,,,,,,,,,,,,,,1,1,30,30,30,30,50,15,2,,34,3,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_1|av_trust_5|av_trust_3|av_trust_4|av_trust_2
2023-04-04 09:55:59,2023-04-04 10:00:03,0,71.196.7.78,100,244,1,2023-04-04 10:00:04,R_3FOIhsxgoiKkjfM,,,,,26.3106,-80.1429,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,18.257,0,0,0,11.388,0,95,5,5,100,5,76,2,1,19,55,20,50,82,3,2,,61,3,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,trust_intro|av_trust_5|av_trust_1|av_trust_4|av_trust_2|av_trust_3
2023-04-04 09:55:58,2023-04-04 10:00:07,0,65.215.31.126,100,249,1,2023-04-04 10:00:08,R_cU36BDoYRkYJHUJ,,,,,40.8547,-73.9218,anonymous,EN,1,2,2,0,0,53.094,0,0,0,11.605,0,68,41,88,61,56,,,,,,,,,,,,,,,1,1,54,66,64,68,80,60,2,,37,5,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_4|av_trust_1|av_trust_2|av_trust_5|av_trust_3
2023-04-04 09:55:49,2023-04-04 10:00:14,0,97.92.4.130,100,264,1,2023-04-04 10:00:14,R_V4JcPopH5DhGevD,,,,,44.0484,-92.4948,anonymous,EN,1,2,2,0,0,28.147,0,0,0,11.511,0,100,50,100,100,80,,,,,,,,,,,,,,,1,1,25,30,0,0,100,10,1,,43,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_2|av_trust_1|av_trust_5|av_trust_4|av_trust_3
2023-04-04 09:56:00,2023-04-04 10:00:23,0,12.189.239.18,100,262,1,2023-04-04 10:00:23,R_33rGNqIrEAIRFi6,,,,,36.1663,-86.7754,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,41.913,0,0,0,13.849,0,100,0,15,100,20,20,2,1,55,55,80,70,60,0,2,,24,4,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,trust_intro|av_trust_5|av_trust_2|av_trust_1|av_trust_4|av_trust_3
2023-04-04 09:56:50,2023-04-04 10:00:25,0,45.130.83.155,100,215,1,2023-04-04 10:00:25,R_1Rkke9s5GkGAPjr,,,,,40.7123,-74.0068,anonymous,EN,1,2,2,0,0,13.932,0,0,0,13.205,0,100,0,100,50,65,,,,,,,,,,,,,,,1,1,0,0,0,0,100,71,2,,32,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_4|av_trust_3|av_trust_1|av_trust_5|av_trust_2
2023-04-04 09:56:24,2023-04-04 10:00:26,0,38.34.109.97,100,242,1,2023-04-04 10:00:26,R_cNM0nEBwZy5mbjr,,,,,38.894,-77.0365,anonymous,EN,1,2,2,0,0,13.956,0,0,0,80.839,0,83,2,95,4,28,,,,,,,,,,,,,,,1,1,82,92,77,69,17,75,1,,36,4,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_4|av_trust_1|av_trust_3|av_trust_5|av_trust_2
2023-04-04 09:57:14,2023-04-04 10:00:29,0,173.61.100.107,100,195,1,2023-04-04 10:00:30,R_XoEfA2SohMWHJhD,,,,,39.3762,-75.1617,anonymous,EN,1,2,2,0,0,23.034,0,0,0,11.389,0,100,0,100,0,0,,,,,,,,,,,,,,,1,1,84,82,85,84,0,87,1,,36,1,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_5|av_trust_2|av_trust_4|av_trust_1|av_trust_3
2023-04-04 09:58:04,2023-04-04 10:00:31,0,173.88.65.194,100,146,1,2023-04-04 10:00:31,R_QlGbX8aJJy4JEat,,,,,39.7184,-82.6073,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,28.125,0,0,0,18.153,0,99,2,7,100,10,29,2,1,23,32,8,16,79,65,1,,36,4,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,trust_intro|av_trust_4|av_trust_3|av_trust_2|av_trust_5|av_trust_1
2023-04-04 10:00:10,2023-04-04 10:00:32,0,76.210.16.176,100,21,1,2023-04-04 10:00:32,R_81UmoCUXeYvTGBH,,,,,33.7344,-84.0986,anonymous,EN,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-04 09:59:56,2023-04-04 10:00:32,0,75.163.80.17,100,36,1,2023-04-04 10:00:32,R_2th8Tnk7SiPpeED,,,,,41.268,-96.1156,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-04 09:58:31,2023-04-04 10:00:36,0,76.33.176.131,100,125,1,2023-04-04 10:00:37,R_26nUZDJ1i83G6oJ,,,,,34.1794,-118.4313,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,54.481,0,0,0,11.262,0,50,50,50,50,50,52,1,2,50,50,50,50,50,55,1,,27,5,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,trust_intro|av_trust_1|av_trust_5|av_trust_2|av_trust_4|av_trust_3
2023-04-04 09:55:49,2023-04-04 10:00:37,0,72.80.116.225,100,287,1,2023-04-04 10:00:38,R_28OOhiL4kgKas7y,,,,,40.5948,-73.9715,anonymous,EN,1,2,2,,,,,,,,,,,,,,8.419,8.419,22.935,1,0,0,13.331,0,100,0,0,100,25,0,2,1,25,25,0,0,75,60,1,,36,4,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,trust_intro|av_trust_1|av_trust_2|av_trust_3|av_trust_4|av_trust_5
2023-04-04 09:58:02,2023-04-04 10:00:38,0,45.31.141.149,100,156,1,2023-04-04 10:00:39,R_3NvUgyIBQdggoM9,,,,,35.3458,-82.5138,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,20.41,0,0,0,10.875,0,100,0,0,100,0,10,2,1,15,15,15,25,70,5,2,,29,4,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,trust_intro|av_trust_4|av_trust_5|av_trust_2|av_trust_1|av_trust_3
