StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_liable_AV_1,vB_mnfctr_liable_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_liable_1,vB_driver_liable_1,vB_mnfctr_liable_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp1,comp_accident,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO
2023-03-31 09:59:42,2023-03-31 09:59:42,2,,100,0,1,2023-03-31 09:59:42,R_ebW46R2gZlW8Enk,,,,,,,test,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:42,2023-03-31 09:59:42,2,,100,0,1,2023-03-31 09:59:42,R_8laWXSlhtsuw9Fk,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:42,2023-03-31 09:59:42,2,,100,0,1,2023-03-31 09:59:42,R_81eh1bpZfL8XKmO,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:42,2023-03-31 09:59:42,2,,100,0,1,2023-03-31 09:59:42,R_byd1RE7SwXKrKwC,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:43,2023-03-31 09:59:43,2,,100,0,1,2023-03-31 09:59:43,R_5dpzxghfektPVb0,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:43,2023-03-31 09:59:43,2,,100,0,1,2023-03-31 09:59:43,R_ehXkYi94npA6qWy,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:43,2023-03-31 09:59:43,2,,100,0,1,2023-03-31 09:59:43,R_e8pYOtXVTkAF22a,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:43,2023-03-31 09:59:44,2,,100,1,1,2023-03-31 09:59:44,R_1TWXSE66ZFVIqPQ,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:44,2023-03-31 09:59:44,2,,100,0,1,2023-03-31 09:59:44,R_0P4k4AgiLcmztOK,,,,,,,test,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:44,2023-03-31 09:59:44,2,,100,0,1,2023-03-31 09:59:44,R_9QZwnsbcckvyOJU,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:44,2023-03-31 09:59:44,2,,100,0,1,2023-03-31 09:59:44,R_bde08ylWJjViXae,,,,,,,test,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:45,2023-03-31 09:59:45,2,,100,0,1,2023-03-31 09:59:45,R_3x6dfjGmjO2OjRk,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:45,2023-03-31 09:59:45,2,,100,0,1,2023-03-31 09:59:45,R_6nEXmN5daA5IOW2,,,,,,,test,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:45,2023-03-31 09:59:45,2,,100,0,1,2023-03-31 09:59:45,R_bxvMd1w3FFBAt02,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:45,2023-03-31 09:59:46,2,,100,1,1,2023-03-31 09:59:46,R_6Eh1Vvm76G7tpvo,,,,,,,test,,1,2,2,,,,,,,,,,,,,,7.31,8.4,9.28,11,2.81,9.45,3.85,33,89,4,57,76,31,32,3,2,98,1,,"Scelerisque aliquet aliquet dui sem! Tempora consectetuer! Massa ridiculus, auctor ligula natoque malesuada.",1,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-03-31 09:59:46,2023-03-31 09:59:46,2,,100,0,1,2023-03-31 09:59:46,R_aVs2wVFvNFkR4kC,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:46,2023-03-31 09:59:46,2,,100,0,1,2023-03-31 09:59:47,R_9SHazYxr2X9jzts,,,,,,,test,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:47,2023-03-31 09:59:47,2,,100,0,1,2023-03-31 09:59:47,R_9NX3dOtTImu12nk,,,,,,,test,,1,2,2,9.5,9.97,9.76,15,8.13,8.39,9.04,10,64,46,99,96,54,,,,,,,,,,,,,,,1,1,69,4,Nibh tempor iaculis et? Mattis felis mauris sodales porttitor dui fusce.,"Cursus porta venenatis neque et donec. Aliquet cras, suspendisse massa sollicitudin lectus.",3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,
2023-03-31 09:59:47,2023-03-31 09:59:47,2,,100,0,1,2023-03-31 09:59:47,R_eeYat7ccrxa6LLo,,,,,,,test,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:47,2023-03-31 09:59:47,2,,100,0,1,2023-03-31 09:59:48,R_9md3O70hKDPX7b8,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:48,2023-03-31 09:59:48,2,,100,0,1,2023-03-31 09:59:48,R_37YbAJvHhQMDb4q,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:48,2023-03-31 09:59:48,2,,100,0,1,2023-03-31 09:59:48,R_cPbUp0PsTpULT7g,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:48,2023-03-31 09:59:48,2,,100,0,1,2023-03-31 09:59:48,R_3JiF8AOBULI9tUG,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:49,2023-03-31 09:59:49,2,,100,0,1,2023-03-31 09:59:49,R_2agYXwLwHFcVkuq,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:49,2023-03-31 09:59:49,2,,100,0,1,2023-03-31 09:59:49,R_1XDw7RxgNpI7Sw6,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:49,2023-03-31 09:59:49,2,,100,0,1,2023-03-31 09:59:49,R_0I1SFiKMuq1YESy,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:49,2023-03-31 09:59:49,2,,100,0,1,2023-03-31 09:59:50,R_6qTSsmITo7ZOyVg,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:50,2023-03-31 09:59:50,2,,100,0,1,2023-03-31 09:59:50,R_6gQoKkXYab9gAey,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:50,2023-03-31 09:59:50,2,,100,0,1,2023-03-31 09:59:50,R_9mn3bAcMVhmr9D8,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:50,2023-03-31 09:59:50,2,,100,0,1,2023-03-31 09:59:50,R_5C4c1IjABf5Wj0q,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:51,2023-03-31 09:59:51,2,,100,0,1,2023-03-31 09:59:51,R_3Ko0A9KH65JMVnw,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:51,2023-03-31 09:59:51,2,,100,0,1,2023-03-31 09:59:51,R_cD69pv6Q3XfE2lo,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:51,2023-03-31 09:59:51,2,,100,0,1,2023-03-31 09:59:51,R_9ESCcvog60YSez4,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:51,2023-03-31 09:59:51,2,,100,0,1,2023-03-31 09:59:51,R_eG6Tk9ILsOEwZDw,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:52,2023-03-31 09:59:52,2,,100,0,1,2023-03-31 09:59:52,R_06B4fJKr67eZ1Wu,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:52,2023-03-31 09:59:52,2,,100,0,1,2023-03-31 09:59:52,R_23qk9B6wOyFMjMa,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:52,2023-03-31 09:59:52,2,,100,0,1,2023-03-31 09:59:52,R_3CAOfIMYWnoyJHo,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:53,2023-03-31 09:59:53,2,,100,0,1,2023-03-31 09:59:53,R_bBmwK8Li6AHJuiG,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:53,2023-03-31 09:59:53,2,,100,0,1,2023-03-31 09:59:53,R_85FqkVRc7AQYsWG,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:53,2023-03-31 09:59:53,2,,100,0,1,2023-03-31 09:59:53,R_bqlHV781VZtghDw,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:54,2023-03-31 09:59:54,2,,100,0,1,2023-03-31 09:59:54,R_2cmw1X770IVqxVQ,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:54,2023-03-31 09:59:54,2,,100,0,1,2023-03-31 09:59:54,R_39mCWxJP0VJCILQ,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:54,2023-03-31 09:59:54,2,,100,0,1,2023-03-31 09:59:54,R_2fb8zgP1HGIu61w,,,,,,,test,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:54,2023-03-31 09:59:54,2,,100,0,1,2023-03-31 09:59:54,R_e4cjHVaiFFGnz70,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:55,2023-03-31 09:59:55,2,,100,0,1,2023-03-31 09:59:55,R_6o0JJilVJs3yqqO,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:55,2023-03-31 09:59:55,2,,100,0,1,2023-03-31 09:59:55,R_eRtpphcBsvOogkK,,,,,,,test,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:55,2023-03-31 09:59:55,2,,100,0,1,2023-03-31 09:59:55,R_eS3ThdcLadUnTlI,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:55,2023-03-31 09:59:56,2,,100,1,1,2023-03-31 09:59:56,R_6AaKTJUlzyvkKWO,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:56,2023-03-31 09:59:56,2,,100,0,1,2023-03-31 09:59:56,R_bjaF1B9GOLUutDM,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:56,2023-03-31 09:59:56,2,,100,0,1,2023-03-31 09:59:56,R_dhiBy7Jfpke1DDw,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:56,2023-03-31 09:59:56,2,,100,0,1,2023-03-31 09:59:56,R_9ogk8hoMZLkkSuG,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:57,2023-03-31 09:59:57,2,,100,0,1,2023-03-31 09:59:57,R_6PTzydsly66tJ3w,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:57,2023-03-31 09:59:57,2,,100,0,1,2023-03-31 09:59:57,R_cT5mr08Vq3fJE6a,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:57,2023-03-31 09:59:57,2,,100,0,1,2023-03-31 09:59:57,R_3gFnHfBIL0V3Eii,,,,,,,test,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:57,2023-03-31 09:59:58,2,,100,1,1,2023-03-31 09:59:58,R_b7toxfzQ0wpdzDw,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:58,2023-03-31 09:59:58,2,,100,0,1,2023-03-31 09:59:58,R_eUPYikz8nmO94Xk,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:58,2023-03-31 09:59:58,2,,100,0,1,2023-03-31 09:59:58,R_3El2uh8I8esSHGu,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:59,2023-03-31 09:59:59,2,,100,0,1,2023-03-31 09:59:59,R_cT6n7pjqfmPeEg6,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:59,2023-03-31 09:59:59,2,,100,0,1,2023-03-31 09:59:59,R_6yw9KJdckFbSZim,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:59,2023-03-31 09:59:59,2,,100,0,1,2023-03-31 09:59:59,R_etXwKvQEFMyhkcS,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:59:59,2023-03-31 09:59:59,2,,100,0,1,2023-03-31 10:00:00,R_1UqODrjjPOSW0js,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 10:00:00,2023-03-31 10:00:00,2,,100,0,1,2023-03-31 10:00:00,R_emrRvfM3Bl0dyVU,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 10:00:00,2023-03-31 10:00:00,2,,100,0,1,2023-03-31 10:00:00,R_6SfyxgTs7IQ6t26,,,,,,,test,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 10:00:00,2023-03-31 10:00:00,2,,100,0,1,2023-03-31 10:00:00,R_8jPMPbUIFVquSUe,,,,,,,test,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
